actv,crnt_flg,description,enddate,frequency,id,longres,name,prefix,processlevel,satinorbit,startdate,suffix,techdoc
In-Active,1,"Sea surface temperature is derived from split thermal window channels (TIR1, TIR2) during daytime and using additional mid IR window channel (MIR) during night time over cloud free oceanic regions. The most important part of the SST retrieval from IR observations is the atmospheric correction, especially over tropics. This correction is determined through a suitable characterization of tropical atmospheres in radiative transfer model to simulate the brightness temperatures of INSAT-3D channels a",2024-06-18,HALF HOURLY,141,Pixel - Pixel,3DIMG_L2B_SST,3DIMG,L2B,P,2013-10-01,L2B_SST_V*.jpg,10.19038/SAC/10/3DIMG_L2B_SST
In-Active,1,Upper Tropospheric Humidity from IMAGER,2024-06-18,Half Hourly,119,Pixel - Pixel,3DIMG_L2B_UTH,3DIMG,L2B,P,2013-10-01,L2B_UTH_V*.jpg,10.19038/SAC/10/3DIMG_L2B_UTH
In-Active,1,Day-time cloud microphysical parameters from visible and SWIR channels of INSAT-3D imager,2024-06-18,"HALF HOURLY,  01:30 to 11:30 GMT",154,0.01 - 0.01,3DIMG_L2C_CMP,3DIMG,L2C,P,2015-12-30,"L2C_CER_V*.jpg,L2C_COT_V*.jpg",10.19038/SAC/10/3DIMG_L2C_CMP
In-Active,1,"Night time FOG is derived from TIR-1 and MIR channel brightness temperature over Indian region. However, for day time visible channel reflectance and TIR-1 channel brightness temperature has been used. The algorithm involves detection of different thresholds following an image based approach to detect FOG",2024-06-18,Half Hourly,139, - ,3DIMG_L2C_FOG,3DIMG,L2C,P,2013-10-01,L2C_FOG_V*.jpg,10.19038/SAC/10/3DIMG_L2C_FOG
In-Active,1,INSAT-3D derived INSOLATION,2024-06-18,half hourly,150, - ,3DIMG_L2C_INS,3DIMG,L2C,P,2015-03-11,L2C_INS_V*.jpg,10.19038/SAC/10/3DIMG_L2C_INS
In-Active,1,Snow cover derived from IMAGER,2024-06-18,once a day,142,Pixel - Pixel,3DIMG_L2C_SNW,3DIMG,L2C,P,2013-10-01,L2C_SNW_V*.jpg,10.19038/SAC/10/3DIMG_L2C_SNW
In-Active,1,"The AOD product provides the aerosol optical thickness, at 650 nm and 4 Km spatial resolution over both land and ocean surfaces with root mean square (RMS) error of ±0.1.",2024-06-18,Half Hourly,127, - ,3DIMG_L2G_AOD,3DIMG,L2G,P,2013-10-05,L2G_AOD_V*.jpg,10.19038/SAC/10/3DIMG_L2G_AOD
In-Active,1,Rainfall from INSAT-3D Imager channels is derived based on two methodologies: (i) Rainfall Estimation by GOES Precipitation Index (GPI) (ii) INSAT Multispectral Rainfall Algorithm . ,2024-06-18,Half Hourly,125, - ,3DIMG_L2G_GPI,3DIMG,L2G,P,2013-10-01,L2G_GPI_V*.jpg,10.19038/SAC/10/3DIMG_L2G_GPI
In-Active,1,Indian Multi Spectral rainfall from IMAGER,2024-06-18,Half Hourly,120,.25 - .25,3DIMG_L2G_IMR,3DIMG,L2G,P,2013-10-01,L2G_IMR_V*.jpg,10.19038/SAC/10/3DIMG_L2G_IMR
In-Active,1,"Sea surface temperature is derived from split thermal window channels (TIR1, TIR2) during daytime and using additional mid IR window channel (MIR) during night time over cloud free oceanic regions. The most important part of the SST retrieval from IR observations is the atmospheric correction, especially over tropics. This correction is determined through a suitable characterization of tropical atmospheres in radiative transfer model to simulate the brightness temperatures of INSAT-3D channels and then generating the regression coefficients for SST retrieval.",2014-01-24,Half Hourly,121,Pixel - Pixel,3DIMG_L2G_SST,3DIMG,L2B,P,2014-01-01,L2G_SST_V*.jpg,10.19038/SAC/10/3DIMG_L2G_SST
In-Active,1,"Wind Derived Product, Upper level divergence, lower level convergence, wind shear, mid-level wind shear, 24 hour wind shear tendency, vorticity(200,500,700,850mb) using INSAT-3D AMVs.",2024-06-18,Half Hourly,268,0.5 - 0.5,3DIMG_L2G_WDP,3DIMG,L2G,P,2015-03-03,"L2G_MIDSH.jpg,L2G_SHEAR.jpg,L2G_VOR200mb.jpg,L2G_VOR500mb.jpg,L2G_VOR850mb.jpg,L2G_VOR700mb.jpg,L2G_LOWCON.jpg,L2G_UPDIV.jpg,L2G_SHTEN.jpg,L2G_MIDSH_V*.jpg,L2G_SHEAR_V*.jpg,L2G_VOR200mb_V*.jpg,L2G_VOR500mb_V*.jpg,L2G_VOR850mb_V*.jpg,L2G_VOR700mb_V*.jpg,L2G_LOWCON_V*.jpg,L2G_UPDIV_V*.jpg,L2G_SHTEN_V*.jpg",10.19038/SAC/10/3DIMG_L2G_WDP
In-Active,1,This is an Active FIRE product which shows that the pixel is warm enough to be qualified as fire. This is derived using MIR (T3) and TIR1 (T5) channel BT from INSAT-3D imager. ,2024-06-18,HALF HOURLY,143,4 - 4,3DIMG_L2P_FIR,3DIMG,L2P,P,2013-10-01,L2P_FIR_V*.jpg,10.19038/SAC/10/3DIMG_L2P_FIR
In-Active,1,INSAT-3D Infrared channel derived Wind,2024-06-18,Half Hourly,128, - ,3DIMG_L2P_IRW,3DIMG,L2P,P,2013-10-08,"L2P_IRW.gif,L2P_LOW.gif,L2P_IRW_V*.gif,L2P_LOW_V*.gif",10.19038/SAC/10/3DIMG_L2P_IRW
In-Active,1,Product is a merged wind product derived using the algorithm for retrieving Atmospheric Motion Vectors (AMVs) from INSAT-3D and INSAT-3DR in staggering mode,2024-06-18,half hourly,316, - ,3DIMG_L2P_IRW_MERGED,,L2P,P,2019-02-06,,10.19038/SAC/10/3DIMG_L2P_IRW_MERGED
In-Active,1,Winds derived using MIR band data of IMAGER,2024-06-18,HALF HOURLY,132,4 - 4,3DIMG_L2P_MRW,3DIMG,L2,P,2013-10-08,"L2P_MRW.gif,L2P_MRW_V*.gif",10.19038/SAC/10/3DIMG_L2P_MRW
In-Active,1,"This is an Active Smoke product which shows that the pixel is to be qualified as smoke.Inputs to the algorithm will include geo-referenced, corrected  Albedo, Digital counts for Visible channel and geo-referenced Brightness temperature for MIR,TIR1, TIR2. ",2024-06-18,HALF HOURLY,144,4 - 4,3DIMG_L2P_SMK,3DIMG,L2P,P,2013-10-01,L2P_SMK_V*.jpg,10.19038/SAC/10/3DIMG_L2P_SMK
In-Active,1,Winds derived using Visible band data of IMAGER,2024-06-18,HALF HOURLY,131,4 - 4,3DIMG_L2P_VSW,3DIMG,L2,P,2013-10-08,"L2P_VSW.gif,L2P_VSW_V*.gif",10.19038/SAC/10/3DIMG_L2P_VSW
In-Active,1,Water vapour derived wind vectors,2024-06-18,Half Hourly,129, - ,3DIMG_L2P_WVW,3DIMG,L2P,P,2013-10-08,"L2P_WVW.gif,L2P_HIG.gif,L2P_WVW_V*.gif,L2P_HIG_V*.gif",10.19038/SAC/10/3DIMG_L2P_WVW
In-Active,1,This product is merged water vapour wind product using the algorithm for retrieving Atmospheric Motion Vectors (AMVs) from INSAT-3D and INSAT-3DR in staggering mode,2024-06-18,half hourly,317, - ,3DIMG_L2P_WV_MERGED,,L2P,P,2019-02-06,,10.19038/SAC/10/3DIMG_L2P_WV_MERGED
In-Active,1,Daily HEM  from INSAT-3D,2024-06-16,Daily,151, - ,3DIMG_L3B_HEM_DLY,3DIMG,L3,P,2014-01-07,L3B_HEM_DLY_V*.jpg,10.19038/SAC/10/3DIMG_L3B_HEM_DLY
In-Active,1,Weekly HEM product from INSAT3D,2024-05-27,Weekly,333, - ,3DIMG_L3B_HEM_WKL,3DIMG,L3B,P,2020-01-06,L3B_HEM_WKL_V*.jpg,
In-Active,1,Daily OLR from INSAT-3D,2024-06-18,Daily,145, - ,3DIMG_L3B_OLR_DLY,3DIMG,L3,P,2014-01-01,L3B_OLR_DLY_V*.jpg,10.19038/SAC/10/3DIMG_L3B_OLR_DLY
In-Active,1,Weekly OLR product from INSAT3D,2024-06-17,Weekly,332, - ,3DIMG_L3B_OLR_WKL,3DIMG,L3B,P,2020-01-06,L3B_OLR_WKL_V*.jpg,
In-Active,1,Daily SST from INSAT-3D,2024-06-18,Daily,148, - ,3DIMG_L3B_SST_DLY,3DIMG,L3,P,2014-02-01,L3B_SST_DLY_V*.jpg,10.19038/SAC/10/3DIMG_L3B_SST_DLY
In-Active,1,Weekly SST product from INSAT3D,2024-06-17,Weekly,331, - ,3DIMG_L3B_SST_WKL,3DIMG,L3B,P,2020-01-06,L3B_SST_WKL_V*.jpg,
In-Active,1,Daily UTH from INSAT-3D,2024-06-18,Daily,146, - ,3DIMG_L3B_UTH_DLY,3DIMG,L3,P,2014-01-01,L3B_UTH_DLY_V*.jpg,10.19038/SAC/10/3DIMG_L3B_UTH_DLY
In-Active,1,Weekly UTH product from INSAT3D,2024-06-17,Weekly,334, - ,3DIMG_L3B_UTH_WKL,3DIMG,L3B,P,2020-01-06,L3B_UTH_WKL_V*.jpg,
In-Active,1,INSAT-3D derived INSOLATION,2024-06-18,daily,294, - ,3DIMG_L3C_INS_DLY,3DIMG,L3,P,2015-11-25,L3C_INS_DLY_V*.jpg,10.19038/SAC/10/3DIMG_L3C_INS_DLY
In-Active,1,"Evapotranspiration (ET) is one of the important processes in the terrestrial water cycle. About 65% of rainwater is lost to the atmosphere due to the combined processes of evaporation and transpiration. In a given climate, reference evapotranspiration (ET0) is defined as the maximum evaporative demand of the atmosphere from a well-watered surface independent of crop type, crop development, and management practice. ",2024-06-18,DAILY,269, - ,3DIMG_L3C_PET_DLY,3DIMG,L3,P,2016-01-01,L3C_PET_DLY_V*.jpg,10.19038/SAC/10/3DIMG_L3C_PET_DLY
In-Active,1,Daily GPI from INSAT-3D,2024-06-17,Daily,152, - ,3DIMG_L3G_GPI_DLY,3DIMG,L3,P,2015-01-01,L3G_GPI_DLY_V*.jpg,10.19038/SAC/10/3DIMG_L3G_GPI_DLY
In-Active,1,Weekly GPI product from INSAT3D,2024-06-10,Weekly,335, - ,3DIMG_L3G_GPI_WKL,3DIMG,L3G,P,2020-01-06,L3G_GPI_WKL_V*.jpg,
In-Active,1,Daily IMR Rain  from INSAT-3D,2024-06-16,Daily,147, - ,3DIMG_L3G_IMR_DLY,3DIMG,L3,P,2014-01-01,L3G_IMR_DLY_V*.jpg,10.19038/SAC/10/3DIMG_L3G_IMR_DLY
In-Active,1,Weekly IMR product from INSAT3D,2024-06-10,Weekly,336, - ,3DIMG_L3G_IMR_WKL,3DIMG,L3G,P,2020-01-06,L3G_IMR_WKL_V*.jpg,
